Tamsulosin,Finisteride
Formulation (inner layer),% Drug content,% Drug Dissolved in buffer pH 7.2,Formulation (Outer layer),% Drug content,% Drug dissolved in water (at 45 min)
30 min (<40 %),2 Hours (20 to 60 %),6 Hours (NLT 75 %)
TF1,98.9,5.23,18.62,26.39,FF1,98.43,99
TF2,100.7,89.46,90.51,92.01,FF2,100.25,70
TF3,99.4,80.99,91.27,99.65,FF3,98.67,68
TF4,101.3,27.45,36.86,67.28,FF4,98.43,87.59
TF5,100.9,12,25.59,34.18,FF5,92.21,18.76
TF6,98.4,68.77,71.89,72.62,FF6,99.08,99
TF7,99.7,22.08,32.63,58.98,FF7,100.64,98.98
TF8,100.3,75.98,84.03,85.71,FF8,98.47,86.87
TF9,100.9,22.19,53.79,101.37,FF9,101.78,77.24
TF10,102.1,14.17,33.89,43.3,FF10,100.96,98.36
TF12,101.8,24.63,52.96,97.68
TF12 at pH 1.2,16.85,43.69,82.05,FF10 at pH 1.2,98.01
