Formulation (inner layer),Weight Variations in mg,Formulation (After drug coat),Weight Variations in mg
Avg of 20 tab,Min weight,Max weight,RSD,Avg of 20 tab,Min weight,Max weight,RSD
TF3,125.2,121,132,2.56,FF1,130.2,127.6,135.4,1.77
TF4,125.32,121,132,2.51,FF2,130.5,126.7,134.8,1.68
TF5,125.31,121,131.7,2.5,FF3,130.2,127.1,136.7,1.85
TF6,125.21,121,131.7,2.45,FF4,128.5,126.8,132.2,1.19
TF7,125.19,121,132,2.36,FF5,129.5,122.4,138.7,2.92
TF8,125.2,121,131,2.06,FF6,130.5,127.0,136.6,2.15
TF9,125.3,122,131,1.97,FF7,130.1,125.5,133.6,1.8
TF10,125.33,121,131.5,2.14,FF8,129.6,125.3,134.1,1.95
TF11,FF9,131.6,127.5,137,2.25
TF12,125.21,121,129,1.82,FF10,132.8,127.8,137.6,2.5
